ED_CODE,JOIN_KEY,SAS04_BIRTH_FE
H1981F00018484,H1981F00018484,0
H1981F00018485,H1981F00018485,0
H1981F00018486,H1981F00018486,0
H1981F00018487,H1981F00018487,0
H1981F00018488,H1981F00018488,0
H1981F00018489,H1981F00018489,0
H1981F00018490,H1981F00018490,0
H1981F00018491,H1981F00018491,0
H1981F00018492,H1981F00018492,0
H1981F00018493,H1981F00018493,0
H1981F00018494,H1981F00018494,0
H1981F00018495,H1981F00018495,0
H1981F00018496,H1981F00018496,0
H1981F00018497,H1981F00018497,0
H1981F00018498,H1981F00018498,0
H1981F00018499,H1981F00018499,0
H1981F00018500,H1981F00018500,0
H1981F00018501,H1981F00018501,0
H1981F00018502,H1981F00018502,0
H1981F00018503,H1981F00018503,0
H1981F00018504,H1981F00018504,0
H1981F00018505,H1981F00018505,0
H1981F00018506,H1981F00018506,0
H1981F00018507,H1981F00018507,0
H1981F00018508,H1981F00018508,0
H1981F00018509,H1981F00018509,0
H1981F00018510,H1981F00018510,0
H1981F00018511,H1981F00018511,0
H1981F00018512,H1981F00018512,0
H1981F00018513,H1981F00018513,0
H1981F00018514,H1981F00018514,0
H1981F00018515,H1981F00018515,0
H1981F00018516,H1981F00018516,0
H1981F00018517,H1981F00018517,0
H1981F00018518,H1981F00018518,0
H1981F00018519,H1981F00018519,0
H1981F00018520,H1981F00018520,0
H1981F00018521,H1981F00018521,0
H1981F00018522,H1981F00018522,0
H1981F00018523,H1981F00018523,0
H1981F00018524,H1981F00018524,0
H1981F00018525,H1981F00018525,0
H1981F00018526,H1981F00018526,0
H1981F00018527,H1981F00018527,0
H1981F00018528,H1981F00018528,0
H1981F00018529,H1981F00018529,0
H1981F00018530,H1981F00018530,0
H1981F00018531,H1981F00018531,0
H1981F00018532,H1981F00018532,0
H1981F00018533,H1981F00018533,0
H1981F00018534,H1981F00018534,0
H1981F00018535,H1981F00018535,0
H1981F00018536,H1981F00018536,0
H1981F00018537,H1981F00018537,0
H1981F00018538,H1981F00018538,0
H1981F00018539,H1981F00018539,0
H1981F00018540,H1981F00018540,0
H1981F00018541,H1981F00018541,0
H1981F00018542,H1981F00018542,0
H1981F00018543,H1981F00018543,0
H1981F00018544,H1981F00018544,0
H1981F00018545,H1981F00018545,0
H1981F00018546,H1981F00018546,0
H1981F00018547,H1981F00018547,0
H1981F00018548,H1981F00018548,0
H1981F00018549,H1981F00018549,0
H1981F00018550,H1981F00018550,0
H1981F00018551,H1981F00018551,0
H1981F00018552,H1981F00018552,0
H1981F00018553,H1981F00018553,0
H1981F00018554,H1981F00018554,0
H1981F00018555,H1981F00018555,0
H1981F00018556,H1981F00018556,0
H1981F00018557,H1981F00018557,0
H1981F00018558,H1981F00018558,0
H1981F00018559,H1981F00018559,0
H1981F00018560,H1981F00018560,0
H1981F00018561,H1981F00018561,0
H1981F00018562,H1981F00018562,0
H1981F00018563,H1981F00018563,0
H1981F00018564,H1981F00018564,0
H1981F00018565,H1981F00018565,0
H1981F00018566,H1981F00018566,0
H1981F00018567,H1981F00018567,0
H1981F00018568,H1981F00018568,0
H1981F00018569,H1981F00018569,0
H1981F00018570,H1981F00018570,0
H1981F00018571,H1981F00018571,0
H1981F00018572,H1981F00018572,0
H1981F00018573,H1981F00018573,0
H1981F00018574,H1981F00018574,0
H1981F00018575,H1981F00018575,0
H1981F00018576,H1981F00018576,0
H1981F00018577,H1981F00018577,0
H1981F00018578,H1981F00018578,0
H1981F00018579,H1981F00018579,0
H1981F00018580,H1981F00018580,0
H1981F00018581,H1981F00018581,0
H1981F00018582,H1981F00018582,0
H1981F00018583,H1981F00018583,0
H1981F00018584,H1981F00018584,0
H1981F00018585,H1981F00018585,0
H1981F00018586,H1981F00018586,0
H1981F00018587,H1981F00018587,0
H1981F00018588,H1981F00018588,0
H1981F00018589,H1981F00018589,0
H1981F00018590,H1981F00018590,0
H1981F00018591,H1981F00018591,0
H1981F00018592,H1981F00018592,0
H1981F00018593,H1981F00018593,0
H1981F00018594,H1981F00018594,0
H1981F00018595,H1981F00018595,0
H1981F00018596,H1981F00018596,0
H1981F00018597,H1981F00018597,0
H1981F00018598,H1981F00018598,0
H1981F00018599,H1981F00018599,0
H1981F00018600,H1981F00018600,0
H1981F00018601,H1981F00018601,0
H1981F00018602,H1981F00018602,0
H1981F00018603,H1981F00018603,0
H1981F00018604,H1981F00018604,0
H1981F00018605,H1981F00018605,0
H1981F00018606,H1981F00018606,0
H1981F00018607,H1981F00018607,0
H1981F00018608,H1981F00018608,0
H1981F00018609,H1981F00018609,0
H1981F00018610,H1981F00018610,0
H1981F00018611,H1981F00018611,0
H1981F00018612,H1981F00018612,0
H1981F00018613,H1981F00018613,0
H1981F00018614,H1981F00018614,0
H1981F00018615,H1981F00018615,0
H1981F00018616,H1981F00018616,0
H1981F00018617,H1981F00018617,0
H1981F00018618,H1981F00018618,0
H1981F00018619,H1981F00018619,0
H1981F00018620,H1981F00018620,0
H1981F00018621,H1981F00018621,0
H1981F00018622,H1981F00018622,0
H1981F00018623,H1981F00018623,0
H1981F00018624,H1981F00018624,0
H1981F00018625,H1981F00018625,0
H1981F00018626,H1981F00018626,0
H1981F00018627,H1981F00018627,0
H1981F00018628,H1981F00018628,0
H1981F00018629,H1981F00018629,0
H1981F00018630,H1981F00018630,0
H1981F00018631,H1981F00018631,0
H1981F00018632,H1981F00018632,0
H1981F00018633,H1981F00018633,0
H1981F00018634,H1981F00018634,0
H1981F00018635,H1981F00018635,0
H1981F00018636,H1981F00018636,0
H1981F00018637,H1981F00018637,0
H1981F00018638,H1981F00018638,0
H1981F00018639,H1981F00018639,0
H1981F00018640,H1981F00018640,0
H1981F00018641,H1981F00018641,0
H1981F00018642,H1981F00018642,0
H1981F00018643,H1981F00018643,0
H1981F00018644,H1981F00018644,0
H1981F00018645,H1981F00018645,0
H1981F00018646,H1981F00018646,0
H1981F00018647,H1981F00018647,0
H1981F00018648,H1981F00018648,0
H1981F00018649,H1981F00018649,0
H1981F00018650,H1981F00018650,0
H1981F00018651,H1981F00018651,0
H1981F00018652,H1981F00018652,0
H1981F00018653,H1981F00018653,0
H1981F00018654,H1981F00018654,0
H1981F00018655,H1981F00018655,0
H1981F00018656,H1981F00018656,0
H1981F00018657,H1981F00018657,0
H1981F00018658,H1981F00018658,0
H1981F00018659,H1981F00018659,0
H1981F00018660,H1981F00018660,0
H1981F00018661,H1981F00018661,0
H1981F00018662,H1981F00018662,0
H1981F00018663,H1981F00018663,0
H1981F00018664,H1981F00018664,0
H1981F00018665,H1981F00018665,0
H1981F00018666,H1981F00018666,0
H1981F00018667,H1981F00018667,0
H1981F00018668,H1981F00018668,0
H1981F00018669,H1981F00018669,0
H1981F00018670,H1981F00018670,0
H1981F00018671,H1981F00018671,0
H1981F00018672,H1981F00018672,0
H1981F00018673,H1981F00018673,0
H1981F00018674,H1981F00018674,0
H1981F00018675,H1981F00018675,0
H1981F00018676,H1981F00018676,0
H1981F00018677,H1981F00018677,0
H1981F00018678,H1981F00018678,0
H1981F00018679,H1981F00018679,0
H1981F00018680,H1981F00018680,0
H1981F00018681,H1981F00018681,0
H1981F00018682,H1981F00018682,0
H1981F00018683,H1981F00018683,0
H1981F00018684,H1981F00018684,0
H1981F00018685,H1981F00018685,0
H1981F00018686,H1981F00018686,0
H1981F00018687,H1981F00018687,0
H1981F00018688,H1981F00018688,0
H1981F00018689,H1981F00018689,0
H1981F00018690,H1981F00018690,0
H1981F00018691,H1981F00018691,0
H1981F00018692,H1981F00018692,0
H1981F00018693,H1981F00018693,0
H1981F00018694,H1981F00018694,0
H1981F00018695,H1981F00018695,0
H1981F00018696,H1981F00018696,0
H1981F00018697,H1981F00018697,0
H1981F00018698,H1981F00018698,0
H1981F00018699,H1981F00018699,0
H1981F00018700,H1981F00018700,0
H1981F00018701,H1981F00018701,0
H1981F00018702,H1981F00018702,0
H1981F00018703,H1981F00018703,0
H1981F00018704,H1981F00018704,0
H1981F00018705,H1981F00018705,0
H1981F00018706,H1981F00018706,0
H1981F00018707,H1981F00018707,0
H1981F00018708,H1981F00018708,0
H1981F00018709,H1981F00018709,0
H1981F00018710,H1981F00018710,0
H1981F00018711,H1981F00018711,0
H1981F00018712,H1981F00018712,0
H1981F00018713,H1981F00018713,0
H1981F00018714,H1981F00018714,0
H1981F00018715,H1981F00018715,0
H1981F00018716,H1981F00018716,0
H1981F00018717,H1981F00018717,0
H1981F00018718,H1981F00018718,0
H1981F00018719,H1981F00018719,0
H1981F00018720,H1981F00018720,0
H1981F00018721,H1981F00018721,0
H1981F00018722,H1981F00018722,0
H1981F00018723,H1981F00018723,0
H1981F00018724,H1981F00018724,0
H1981F00018725,H1981F00018725,0
H1981F00018726,H1981F00018726,0
H1981F00018727,H1981F00018727,0
H1981F00018728,H1981F00018728,0
H1981F00018729,H1981F00018729,0
H1981F00018730,H1981F00018730,0
H1981F00018731,H1981F00018731,0
H1981F00018732,H1981F00018732,0
H1981F00018733,H1981F00018733,0
H1981F00018734,H1981F00018734,0
H1981F00018735,H1981F00018735,0
H1981F00018736,H1981F00018736,0
H1981F00018737,H1981F00018737,0
H1981F00018738,H1981F00018738,0
H1981F00018739,H1981F00018739,0
H1981F00018740,H1981F00018740,0
H1981F00018741,H1981F00018741,0
H1981F00018742,H1981F00018742,0
H1981F00018743,H1981F00018743,0
